,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
0,Petrol,23 km,1st Owner,,DL-4C,Maruti OMNI E,2014,Maruti,"2,00,199"
1,Petrol,"12,535 km",1st Owner,MANUAL,DL-12,Maruti Alto 800,2014,Maruti,"3,21,599"
2,Petrol,"2,589 km",1st Owner,,UP-32,Hyundai VENUE S,2021,Hyundai,"8,08,699"
3,Petrol,"40,184 km",1st Owner,MANUAL,DL-8C,Maruti Alto K10,2013,Maruti,"2,42,299"
4,Petrol,"9,217 km",1st Owner,MANUAL,DL-8C,Maruti Alto 800,2015,Maruti,"2,76,199"
5,Petrol,"31,999 km",1st Owner,MANUAL,DL-1C,Maruti Swift LXI,2012,Maruti,"3,22,399"
6,Petrol,"19,415 km",,,DL-13,Honda Brio 1.2,2012,Honda,"2,83,799"
7,Petrol,"22,836 km",,,UP-16,Hyundai Grand i10,2014,Hyundai,"4,11,999"
8,Petrol,"11,691 km",,,DL-12,Maruti Alto K10,2017,Maruti,"3,81,599"
9,Petrol,"24,353 km",1st Owner,MANUAL,DL-4C,Maruti Alto K10,2011,Maruti,"2,34,999"
10,Petrol,"12,749 km",,,HR-51,Hyundai Eon MAGNA,2015,Hyundai,"3,22,599"
11,Petrol,"39,300 km",,,DL-4C,Maruti Zen Estilo,2011,Maruti,"1,89,399"
12,Petrol,"34,364 km",,,DL-4C,Volkswagen Polo HIGHLINE1.2L,2012,Volkswagen,"4,02,499"
13,Petrol,"20,039 km",,,DL-1C,Tata Nano TWIST,2016,Tata,"2,10,599"
14,Petrol,"7,610 km",,,HR-26,Maruti Alto LXI,2020,Maruti,"3,75,099"
15,Petrol,"13,899 km",1st Owner,,DL-2C,Hyundai Grand i10,2018,Hyundai,"4,59,899"
16,Petrol,"33,175 km",1st Owner,,DL-7C,Maruti Alto K10,2012,Maruti,"2,35,799"
17,Petrol,"5,645 km",1st Owner,,HR-98,Maruti Baleno SIGMA,2020,Maruti,"5,80,999"
18,Petrol,"12,139 km",1st Owner,,DL-2C,Maruti Alto K10,2017,Maruti,"3,53,599"
19,Petrol,"10,608 km",1st Owner,,DL-12,Maruti Alto 800,2017,Maruti,"3,19,199"
20,Petrol,"57,489 km",2nd Owner,,DL-3C,Maruti A Star,2010,Maruti,"2,14,999"
21,Petrol,"17,637 km",1st Owner,,DL-2C,Maruti Alto 800,2015,Maruti,"2,91,399"
22,Petrol,"10,957 km",,,HR-51,Maruti Alto K10,2015,Maruti,"2,95,299"
23,Petrol,"7,093 km",,MANUAL,DL-3C,Maruti Alto 800,2018,Maruti,"3,53,099"
24,Petrol,"20,231 km",,MANUAL,UP-16,Renault Kwid RXT,2015,Renault,"2,98,299"
25,Petrol,"17,054 km",,MANUAL,DL-11,Maruti Swift LXI,2020,Maruti,"5,38,799"
26,Petrol,"29,645 km",,MANUAL,DL-9C,Maruti Alto LXI,2010,Maruti,"1,85,699"
27,Petrol,"13,289 km",,,DL-8C,Maruti Alto K10,2016,Maruti,"3,03,000"
28,Petrol,"17,374 km",1st Owner,,DL-12,Maruti Alto K10,2013,Maruti,"2,57,999"
29,Petrol,"12,808 km",2nd Owner,,DL-2C,Maruti Wagon R,2017,Maruti,"4,23,599"
30,Petrol,"2,723 km",1st Owner,,DL-3C,Maruti Alto LXI,2020,Maruti,"3,65,499"
31,Petrol,"2,147 km",1st Owner,,UP-80,Maruti Alto 800,2017,Maruti,"3,52,699"
32,Petrol,"28,704 km",1st Owner,,DL-3C,Maruti Alto K10,2017,Maruti,"3,56,899"
33,Petrol,"25,610 km",2nd Owner,,HR-51,Maruti Alto 800,2012,Maruti,"2,24,699"
34,Petrol,"11,721 km",1st Owner,,HR-26,Renault Kwid CLIMBER,2017,Renault,"3,98,799"
35,Petrol,"20,494 km",1st Owner,,HR-26,Hyundai Eon MAGNA,2015,Hyundai,"2,90,000"
36,Petrol,"15,581 km",1st Owner,,HR-26,Maruti Alto 800,2017,Maruti,"2,60,299"
37,Petrol,"30,737 km",1st Owner,,CH-01,Honda Jazz 1.2,2016,Honda,"5,37,299"
38,Petrol,"49,654 km",2nd Owner,,HR-26,Toyota Etios VX,2011,Toyota,"3,39,399"
39,Petrol,"40,666 km",1st Owner,,DL-2C,Maruti Alto K10,2010,Maruti,"1,91,199"
40,Petrol,"56,231 km",2nd Owner,,UP-15,Maruti Alto LXI,2010,Maruti,"1,70,399"
41,Petrol,"11,026 km",1st Owner,,HR-29,Maruti Alto K10,2018,Maruti,"3,59,999"
42,Diesel,"16,646 km",1st Owner,,HR-13,Maruti Swift VDI,2017,Maruti,"4,81,299"
43,Petrol,"4,093 km",1st Owner,,DL-12,Maruti Celerio ZXI,2016,Maruti,"4,17,199"
44,Petrol,"13,054 km",1st Owner,,DL-8C,Renault Kwid RXT,2016,Renault,"2,78,999"
45,Petrol,"5,636 km",2nd Owner,,UP-80,Maruti Alto 800,2017,Maruti,"2,73,699"
46,Diesel,"33,554 km",1st Owner,,DL-9C,Maruti Swift Dzire,2013,Maruti,"3,75,199"
47,Petrol,"28,685 km",1st Owner,,DL-8C,Maruti Swift VXI,2009,Maruti,"2,15,399"
48,Petrol,"20,764 km",2nd Owner,,DL-1C,Maruti Alto K10,2017,Maruti,"3,57,799"
49,Diesel,"32,281 km",1st Owner,,DL-12,Hyundai i20 ERA,2013,Hyundai,"3,45,899"
50,Petrol,"36,220 km",1st Owner,,DL-6C,Maruti Swift VXI,2015,Maruti,"4,04,999"
